Generation,BestFitness,AverageFitness,SpeciesCount,AverageComplexity,ChampionSteps
0,235.400000,26.932000,1,9.000000,234.400000
1,407.600000,46.893333,1,9.046667,406.600000
2,415.200000,81.101333,1,9.006667,414.200000
3,415.200000,122.676000,3,9.020000,414.200000
4,415.200000,149.524000,3,11.653333,414.200000
5,415.200000,158.266667,5,11.793333,414.200000
6,415.200000,154.614667,8,12.546667,414.200000
7,415.400000,159.605333,13,13.373333,414.400000
8,416.600000,157.046667,16,15.133333,415.600000
9,416.600000,168.445333,17,15.440000,415.600000
10,416.600000,160.997333,18,15.666667,415.600000
11,416.600000,164.448000,19,16.420000,415.600000
12,416.600000,172.573333,20,16.766667,415.600000
13,416.600000,184.384000,23,16.880000,415.600000
14,416.600000,181.321333,24,17.540000,415.600000
15,416.600000,201.124000,25,17.753333,415.600000
16,416.600000,196.838667,26,17.893333,415.600000
17,416.600000,185.582667,28,17.913333,415.600000
18,416.600000,201.494667,28,17.953333,415.600000
19,416.600000,198.138667,29,18.460000,415.600000
20,416.600000,220.729333,30,18.360000,415.600000
21,416.600000,217.676000,32,18.500000,415.600000
22,416.600000,224.486667,32,18.693333,415.600000
23,416.600000,221.674667,32,18.893333,415.600000
24,416.600000,241.458667,34,18.913333,415.600000
25,416.600000,224.038667,34,19.460000,415.600000
26,416.600000,235.554667,34,19.386667,415.600000
27,417.000000,232.914667,34,19.513333,416.000000
28,417.000000,222.526667,36,19.693333,416.000000
29,417.000000,235.609333,36,19.840000,416.000000
30,417.000000,231.157333,37,19.906667,416.000000
31,417.000000,247.422667,38,20.253333,416.000000
32,417.000000,253.825333,37,19.986667,416.000000
33,417.000000,245.074667,37,20.393333,416.000000
34,417.000000,251.985333,38,20.633333,416.000000
35,417.000000,267.964000,38,21.060000,416.000000
36,417.000000,249.693333,39,21.106667,416.000000
37,417.000000,259.280000,40,21.080000,416.000000
38,417.000000,262.945333,41,21.373333,416.000000
39,417.000000,267.820000,41,21.966667,416.000000
40,417.000000,268.305333,44,22.100000,416.000000
41,417.000000,266.880000,46,22.340000,416.000000
42,417.000000,263.922667,47,22.686667,416.000000
43,417.000000,255.852000,47,22.813333,416.000000
44,417.000000,249.226667,48,22.946667,416.000000
45,417.200000,278.104000,48,23.013333,416.200000
46,417.200000,272.202667,49,23.013333,416.200000
47,417.200000,255.788000,49,22.986667,416.200000
