Generation,BestFitness,AverageFitness,SpeciesCount,AverageComplexity,ChampionSteps
0,319.600000,18.989333,1,9.000000,318.600000
1,319.600000,31.542667,1,9.046667,318.600000
2,319.600000,50.702667,2,9.086667,318.600000
3,402.000000,62.244000,3,11.520000,401.000000
4,402.000000,80.869333,5,11.433333,401.000000
5,402.000000,75.557333,6,12.546667,401.000000
6,402.000000,97.032000,9,12.980000,401.000000
7,402.000000,90.797333,15,13.493333,401.000000
8,402.000000,88.802667,17,14.333333,401.000000
9,402.000000,99.213333,18,14.480000,401.000000
10,402.000000,102.398667,19,14.686667,401.000000
11,402.000000,104.808000,19,15.113333,401.000000
12,402.000000,102.394667,21,15.206667,401.000000
13,402.000000,108.710667,21,15.453333,401.000000
14,402.000000,124.354667,23,15.606667,401.000000
15,402.000000,145.952000,24,16.200000,401.000000
16,402.000000,140.141333,24,16.440000,401.000000
17,402.000000,137.872000,26,16.586667,401.000000
18,402.000000,147.668000,28,16.973333,401.000000
19,402.000000,136.738667,28,17.433333,401.000000
20,402.000000,147.657333,30,17.800000,401.000000
21,402.000000,151.414667,30,17.720000,401.000000
22,402.000000,175.612000,30,17.806667,401.000000
23,402.000000,165.250667,31,17.886667,401.000000
24,402.000000,157.221333,32,18.180000,401.000000
25,402.000000,155.869333,33,18.333333,401.000000
26,402.000000,169.244000,35,18.413333,401.000000
27,402.000000,171.925333,37,18.706667,401.000000
28,402.000000,159.681333,37,18.813333,401.000000
29,402.000000,165.036000,37,18.693333,401.000000
30,402.000000,186.402667,37,19.060000,401.000000
31,402.000000,165.876000,39,19.020000,401.000000
32,402.000000,189.534667,40,19.233333,401.000000
33,402.000000,172.782667,40,19.480000,401.000000
34,402.000000,183.078667,43,19.580000,401.000000
35,402.000000,181.270667,44,20.206667,401.000000
36,402.000000,177.828000,46,20.440000,401.000000
37,402.000000,198.132000,46,20.520000,401.000000
38,402.000000,189.920000,46,20.180000,401.000000
39,402.000000,196.204000,46,20.513333,401.000000
40,402.000000,186.789333,46,20.053333,401.000000
41,402.000000,201.224000,46,21.266667,401.000000
42,402.000000,176.896000,47,20.693333,401.000000
43,402.000000,191.473333,48,20.726667,401.000000
44,402.000000,206.724000,48,20.793333,401.000000
45,402.000000,199.834667,49,20.813333,401.000000
46,402.000000,221.217333,50,21.206667,401.000000
47,402.000000,229.850667,49,20.926667,401.000000
48,402.000000,211.269333,49,20.913333,401.000000
49,402.000000,202.385333,50,21.126667,401.000000
50,402.000000,209.540000,53,21.326667,401.000000
51,402.000000,216.597333,53,21.333333,401.000000
52,402.000000,228.217333,53,21.726667,401.000000
53,402.000000,217.633333,54,21.666667,401.000000
54,402.000000,221.009333,54,21.606667,401.000000
55,402.000000,202.688000,54,21.773333,401.000000
56,402.000000,204.585333,54,21.673333,401.000000
57,402.000000,211.592000,54,21.660000,401.000000
58,402.000000,210.350667,54,21.766667,401.000000
59,402.000000,232.864000,54,21.933333,401.000000
60,402.000000,234.609333,54,21.660000,401.000000
61,402.000000,232.429333,54,21.793333,401.000000
62,402.000000,224.068000,54,21.946667,401.000000
63,402.000000,234.613333,54,21.940000,401.000000
64,402.000000,223.008000,54,22.020000,401.000000
65,402.000000,221.538667,55,21.886667,401.000000
66,402.000000,219.174667,56,22.060000,401.000000
67,402.000000,222.976000,56,21.986667,401.000000
68,402.000000,226.306667,56,21.953333,401.000000
69,402.000000,223.249333,56,21.993333,401.000000
70,402.000000,234.440000,56,21.920000,401.000000
71,402.000000,251.322667,57,22.280000,401.000000
72,402.000000,234.866667,57,22.226667,401.000000
73,402.000000,248.316000,58,22.046667,401.000000
74,402.000000,236.868000,58,22.560000,401.000000
75,402.000000,229.908000,58,22.480000,401.000000
76,402.000000,238.405333,58,22.620000,401.000000
77,402.000000,238.246667,59,22.100000,401.000000
78,402.000000,246.796000,59,22.860000,401.000000
79,402.000000,236.210667,61,22.546667,401.000000
80,402.000000,240.018667,61,23.080000,401.000000
81,402.000000,239.332000,61,22.893333,401.000000
82,402.000000,238.832000,62,23.106667,401.000000
83,402.000000,244.565333,62,22.626667,401.000000
84,402.000000,228.465333,63,22.786667,401.000000
85,402.000000,239.260000,63,22.726667,401.000000
86,402.000000,240.736000,63,23.020000,401.000000
87,402.000000,249.214667,64,22.766667,401.000000
88,402.000000,256.510667,65,22.920000,401.000000
89,402.000000,247.292000,66,23.066667,401.000000
90,402.000000,250.324000,66,22.960000,401.000000
91,402.000000,238.106667,66,23.333333,401.000000
92,402.000000,267.165333,66,23.180000,401.000000
93,402.000000,253.880000,66,23.273333,401.000000
94,402.000000,254.760000,67,23.146667,401.000000
95,402.000000,256.132000,69,23.240000,401.000000
96,402.000000,260.196000,69,23.440000,401.000000
97,402.000000,262.733333,69,23.320000,401.000000
98,402.000000,257.728000,69,23.120000,401.000000
99,402.000000,250.609333,69,23.706667,401.000000
100,402.000000,266.304000,69,23.046667,401.000000
101,402.000000,265.025333,69,23.800000,401.000000
102,402.000000,270.106667,69,23.140000,401.000000
103,402.000000,274.798667,69,23.020000,401.000000
104,402.000000,260.810667,70,23.486667,401.000000
105,402.000000,258.925333,71,23.380000,401.000000
106,402.000000,275.953333,71,23.253333,401.000000
107,402.000000,265.801333,71,23.540000,401.000000
108,402.000000,261.900000,71,23.506667,401.000000
109,402.000000,260.814667,72,23.560000,401.000000
110,402.000000,246.236000,72,23.486667,401.000000
111,402.000000,251.369333,72,23.460000,401.000000
112,402.000000,271.960000,72,23.380000,401.000000
113,402.000000,264.952000,72,23.320000,401.000000
114,402.000000,268.792000,72,23.566667,401.000000
115,402.000000,269.821333,72,23.426667,401.000000
116,402.000000,280.160000,72,23.253333,401.000000
117,402.000000,257.434667,72,23.246667,401.000000
118,402.000000,257.312000,72,23.453333,401.000000
119,402.000000,264.812000,72,23.666667,401.000000
120,402.000000,276.970667,74,23.360000,401.000000
121,402.000000,257.626667,75,23.406667,401.000000
122,402.000000,273.730667,75,23.406667,401.000000
123,402.000000,269.856000,76,23.193333,401.000000
124,402.000000,273.508000,77,23.426667,401.000000
125,402.000000,268.729333,77,23.593333,401.000000
126,402.000000,266.513333,78,23.613333,401.000000
127,402.000000,264.340000,78,23.646667,401.000000
128,402.000000,268.549333,78,23.573333,401.000000
129,402.000000,265.002667,78,23.493333,401.000000
130,402.000000,275.034667,78,23.673333,401.000000
131,402.000000,258.229333,78,23.680000,401.000000
132,402.000000,280.997333,78,23.460000,401.000000
133,402.000000,268.118667,78,23.586667,401.000000
134,402.000000,270.268000,78,23.606667,401.000000
135,402.000000,280.573333,78,23.780000,401.000000
136,402.000000,281.637333,78,23.573333,401.000000
137,402.000000,270.740000,79,23.800000,401.000000
138,402.000000,264.101333,79,23.660000,401.000000
139,402.000000,268.433333,79,23.813333,401.000000
140,402.000000,273.276000,79,23.820000,401.000000
141,402.000000,281.556000,79,23.780000,401.000000
142,402.000000,267.026667,79,23.806667,401.000000
143,402.000000,266.337333,79,23.840000,401.000000
144,402.000000,271.504000,79,23.873333,401.000000
145,402.000000,273.842667,79,23.800000,401.000000
146,402.000000,272.405333,79,23.773333,401.000000
147,402.000000,277.678667,79,23.760000,401.000000
148,402.000000,267.666667,80,23.826667,401.000000
149,402.000000,267.285333,80,23.913333,401.000000
150,402.000000,279.292000,80,23.700000,401.000000
151,402.000000,273.761333,80,23.826667,401.000000
152,402.000000,272.928000,80,23.820000,401.000000
153,402.000000,271.416000,81,23.920000,401.000000
154,402.000000,272.334667,82,24.066667,401.000000
155,402.000000,283.548000,82,24.226667,401.000000
156,402.000000,280.482667,82,24.240000,401.000000
157,402.000000,267.788000,82,24.153333,401.000000
158,402.000000,268.540000,83,24.253333,401.000000
159,402.000000,267.913333,83,24.140000,401.000000
160,402.000000,275.488000,83,24.200000,401.000000
161,402.000000,276.829333,83,24.186667,401.000000
162,402.000000,266.476000,83,24.233333,401.000000
163,402.000000,277.182667,84,24.206667,401.000000
164,402.000000,277.770667,84,24.320000,401.000000
165,402.000000,273.220000,84,24.313333,401.000000
166,402.000000,287.853333,84,24.426667,401.000000
167,402.000000,267.609333,84,24.260000,401.000000
168,402.000000,280.628000,85,24.300000,401.000000
169,402.000000,278.845333,85,24.366667,401.000000
170,402.000000,278.369333,85,24.246667,401.000000
171,402.000000,276.429333,85,24.373333,401.000000
172,402.000000,268.716000,85,24.600000,401.000000
173,402.000000,278.334667,85,24.313333,401.000000
174,402.000000,277.296000,85,24.440000,401.000000
175,402.000000,281.845333,85,24.420000,401.000000
176,402.000000,285.994667,85,24.286667,401.000000
177,402.000000,256.821333,85,24.226667,401.000000
178,402.000000,275.228000,85,24.280000,401.000000
179,402.000000,273.738667,85,24.266667,401.000000
180,402.000000,274.406667,85,24.393333,401.000000
181,402.000000,278.194667,85,24.406667,401.000000
182,402.000000,290.226667,85,24.500000,401.000000
183,402.000000,286.336000,86,24.326667,401.000000
184,402.000000,286.658667,86,24.560000,401.000000
185,402.000000,270.956000,87,24.573333,401.000000
186,402.000000,276.068000,87,24.186667,401.000000
187,402.000000,294.884000,87,24.306667,401.000000
