Generation,BestFitness,AverageFitness,SpeciesCount,AverageComplexity
0,44.000000,31.640000,1,13.000000
1,44.000000,33.740000,1,13.075000
2,44.000000,35.350000,4,13.105000
3,44.000000,34.590000,4,15.310000
4,44.000000,35.450000,6,15.390000
5,44.000000,36.495000,7,16.335000
6,44.000000,36.755000,11,16.965000
7,45.000000,36.325000,13,17.345000
8,45.000000,36.500000,18,17.595000
9,45.000000,37.285000,20,18.185000
10,45.000000,37.720000,24,19.100000
11,45.000000,38.305000,29,19.705000
12,45.000000,37.970000,32,19.985000
13,45.000000,38.270000,33,20.495000
14,45.000000,38.485000,34,20.790000
15,45.000000,38.195000,41,21.180000
16,45.000000,38.410000,45,21.545000
17,45.000000,38.560000,47,21.920000
18,45.000000,38.965000,50,22.075000
19,45.000000,38.410000,53,22.420000
20,45.000000,38.760000,54,22.740000
21,47.000000,39.155000,56,22.965000
22,47.000000,39.145000,58,22.840000
23,47.000000,39.400000,58,23.220000
24,47.000000,39.280000,62,23.510000
25,47.000000,39.755000,63,23.540000
26,47.000000,39.720000,64,23.720000
27,47.000000,39.500000,64,23.705000
28,47.000000,39.610000,66,23.735000
29,47.000000,39.595000,67,23.685000
30,47.000000,39.600000,68,23.775000
31,47.000000,40.020000,69,23.860000
32,47.000000,39.870000,71,24.020000
33,47.000000,40.200000,71,24.065000
34,47.000000,40.365000,73,24.230000
35,47.000000,40.215000,74,24.145000
36,47.000000,40.290000,75,24.140000
37,47.000000,40.230000,78,24.190000
38,47.000000,40.190000,78,24.460000
39,47.000000,40.260000,80,24.555000
40,47.000000,40.190000,80,24.705000
41,47.000000,40.935000,81,24.590000
42,47.000000,40.415000,83,24.770000
43,47.000000,40.855000,83,25.025000
44,47.000000,41.030000,84,24.920000
45,47.000000,40.930000,84,24.990000
46,47.000000,40.905000,84,25.020000
47,47.000000,40.930000,84,24.945000
48,47.000000,40.730000,84,24.950000
49,47.000000,40.900000,84,25.005000
50,47.000000,40.950000,85,25.230000
51,47.000000,41.235000,88,25.200000
52,47.000000,40.965000,88,25.500000
53,48.000000,41.095000,91,25.615000
54,48.000000,40.670000,92,25.500000
55,48.000000,41.375000,92,25.570000
56,48.000000,40.900000,94,25.540000
57,48.000000,41.095000,94,25.740000
58,48.000000,41.035000,94,25.415000
59,48.000000,41.160000,94,25.540000
60,48.000000,41.495000,95,25.790000
61,48.000000,41.065000,95,25.670000
62,48.000000,40.975000,95,25.785000
63,48.000000,41.145000,95,25.695000
64,48.000000,40.780000,95,25.675000
65,48.000000,40.935000,96,25.745000
66,48.000000,41.015000,96,25.710000
67,48.000000,41.040000,97,25.690000
68,48.000000,41.125000,97,25.815000
69,48.000000,41.045000,98,25.810000
70,48.000000,41.480000,99,25.925000
71,48.000000,41.220000,99,25.910000
72,48.000000,40.955000,100,25.950000
73,49.000000,41.000000,100,25.995000
74,49.000000,41.545000,101,25.945000
75,49.000000,41.200000,102,26.010000
76,49.000000,41.110000,102,25.965000
77,49.000000,41.050000,102,26.060000
78,49.000000,41.625000,102,25.920000
79,49.000000,41.245000,102,26.040000
80,49.000000,41.255000,102,25.925000
81,49.000000,41.260000,103,26.040000
82,49.000000,41.435000,103,26.115000
83,49.000000,41.170000,103,25.960000
84,49.000000,41.325000,103,26.080000
85,49.000000,41.375000,103,26.110000
86,49.000000,41.170000,104,26.115000
87,49.000000,41.370000,106,26.105000
88,49.000000,41.635000,106,26.330000
89,49.000000,41.660000,107,26.440000
90,49.000000,41.645000,108,26.280000
91,50.000000,41.395000,107,26.665000
92,50.000000,41.745000,107,26.265000
93,50.000000,41.665000,107,26.405000
94,50.000000,41.820000,108,26.260000
95,50.000000,41.930000,108,26.300000
96,50.000000,41.680000,108,26.190000
97,50.000000,41.605000,108,26.400000
98,50.000000,41.845000,108,26.460000
99,50.000000,41.120000,108,26.410000
100,50.000000,41.710000,109,26.615000
101,50.000000,41.825000,109,26.590000
102,50.000000,41.415000,111,26.530000
103,50.000000,41.500000,111,26.475000
104,50.000000,41.620000,111,26.600000
105,50.000000,41.775000,111,26.695000
106,50.000000,42.115000,111,26.700000
107,50.000000,42.195000,111,26.760000
108,50.000000,42.035000,112,26.630000
109,50.000000,41.905000,112,27.085000
110,50.000000,41.950000,112,26.680000
111,50.000000,41.980000,112,26.795000
112,50.000000,42.075000,113,27.070000
113,50.000000,42.180000,113,27.025000
114,50.000000,42.300000,113,26.810000
115,50.000000,42.100000,114,26.765000
116,50.000000,41.900000,115,26.730000
117,50.000000,41.980000,115,26.885000
118,51.000000,41.665000,115,26.865000
119,51.000000,41.745000,115,26.700000
120,51.000000,41.850000,115,26.940000
121,51.000000,42.355000,115,26.825000
122,51.000000,42.260000,115,26.905000
123,51.000000,42.165000,116,26.600000
124,51.000000,41.925000,116,27.000000
125,51.000000,42.420000,116,26.960000
126,51.000000,41.935000,116,26.985000
127,51.000000,41.925000,116,26.865000
128,51.000000,42.355000,116,27.095000
129,51.000000,41.970000,116,26.835000
130,52.000000,41.830000,117,27.000000
131,52.000000,41.875000,120,27.235000
132,52.000000,42.050000,120,26.945000
133,52.000000,42.290000,120,27.065000
134,52.000000,42.070000,120,27.165000
135,52.000000,42.065000,121,27.030000
136,52.000000,42.290000,121,26.990000
137,52.000000,42.195000,121,26.950000
138,52.000000,42.600000,121,27.060000
139,52.000000,41.850000,121,26.855000
140,52.000000,42.280000,121,27.045000
141,52.000000,42.330000,121,26.815000
142,52.000000,42.560000,121,27.225000
143,52.000000,42.030000,121,26.870000
144,52.000000,42.140000,123,27.110000
145,52.000000,42.355000,124,27.215000
146,53.000000,42.315000,124,27.250000
147,53.000000,42.280000,125,26.980000
148,53.000000,42.305000,125,27.305000
149,53.000000,42.340000,125,27.190000
150,53.000000,42.410000,125,27.005000
151,53.000000,42.365000,125,27.125000
152,53.000000,42.270000,125,27.310000
153,53.000000,42.640000,126,27.420000
154,53.000000,42.265000,126,27.020000
155,53.000000,42.395000,126,27.440000
156,53.000000,42.310000,127,26.910000
157,53.000000,42.395000,127,27.460000
158,53.000000,42.370000,127,27.180000
159,53.000000,42.235000,128,27.575000
160,53.000000,42.490000,129,27.235000
161,53.000000,42.440000,129,27.585000
162,53.000000,42.470000,129,27.400000
163,53.000000,42.195000,130,27.485000
164,53.000000,42.100000,130,27.560000
165,53.000000,42.435000,130,27.225000
166,53.000000,42.440000,130,27.725000
167,53.000000,42.190000,129,27.285000
168,53.000000,42.360000,129,27.555000
169,53.000000,42.440000,129,27.330000
170,53.000000,42.360000,129,27.455000
171,53.000000,42.330000,130,27.600000
172,53.000000,42.430000,130,27.530000
173,53.000000,42.320000,130,27.655000
174,53.000000,42.420000,130,27.435000
175,53.000000,42.460000,130,27.645000
176,53.000000,42.465000,130,27.585000
177,53.000000,42.290000,130,27.790000
178,53.000000,42.335000,130,27.220000
179,53.000000,42.500000,130,27.660000
180,53.000000,42.470000,130,27.455000
181,53.000000,42.305000,130,27.730000
182,53.000000,42.550000,130,27.455000
183,53.000000,42.475000,130,27.580000
184,53.000000,42.605000,130,27.745000
185,54.000000,42.250000,130,27.580000
186,54.000000,42.255000,131,27.585000
187,54.000000,42.330000,131,27.705000
188,54.000000,42.670000,131,27.535000
189,54.000000,42.635000,130,27.780000
190,54.000000,42.050000,130,27.600000
191,54.000000,42.235000,130,27.225000
192,54.000000,42.395000,130,27.620000
193,54.000000,42.390000,131,27.675000
194,54.000000,42.625000,131,27.645000
195,54.000000,42.590000,132,27.760000
196,54.000000,42.210000,132,27.715000
197,54.000000,42.655000,133,27.710000
198,54.000000,42.890000,133,27.505000
199,54.000000,42.545000,134,27.670000
