Generation,BestFitness,AverageFitness,SpeciesCount,AverageComplexity
0,2.999867,2.930282,1,5.000000
1,2.999938,2.961660,1,5.170000
2,3.000000,2.971375,2,4.940000
3,3.054949,2.972732,3,6.580000
4,3.054949,2.978392,4,7.400000
5,3.069404,2.971178,4,8.480000
6,3.198677,2.976412,9,8.680000
7,3.230202,2.974444,11,11.050000
8,3.230202,2.980505,14,11.450000
9,3.231733,2.986733,14,12.740000
10,3.293198,2.994868,15,13.040000
11,3.293198,2.987512,18,13.720000
12,3.346700,3.003380,19,14.210000
13,3.364373,2.954462,21,14.790000
14,3.364373,3.003170,23,15.330000
15,3.378484,2.970347,26,15.090000
16,3.378484,3.001606,27,16.180000
17,3.378484,2.997955,27,16.350000
18,3.378484,3.018269,27,16.820000
19,3.427091,3.019848,28,17.340000
20,3.462814,3.049556,29,17.420000
21,3.462814,3.025869,31,17.680000
22,3.462814,3.070102,31,18.100000
23,3.478553,3.050562,32,18.440000
24,3.478553,3.080569,32,18.270000
25,3.572901,3.065259,33,18.520000
26,3.572901,3.040698,37,18.970000
27,3.572901,3.088811,37,18.680000
28,3.663269,3.086502,37,18.990000
29,3.663269,3.097743,39,19.230000
30,3.663269,3.092848,40,18.610000
31,3.663269,3.108974,40,19.700000
32,3.663269,3.122460,40,19.530000
33,3.690712,3.108431,40,19.710000
34,3.690712,3.104758,40,19.460000
35,3.690712,3.128918,40,20.220000
36,3.690712,3.135187,41,20.310000
37,3.715115,3.136818,41,20.740000
38,3.718018,3.130274,41,20.690000
39,3.718018,3.124441,42,20.730000
